version_date,current_value,predict_value,previous_value,refresh_date
1991-03-01,-30.5,--,-12,2022-04-10 18:35:53
1991-02-01,-12,--,-5.6,2022-04-10 18:35:53
1991-01-04,-5.6,--,-15,2022-04-10 18:35:53
1990-12-07,-15,--,-15.9,2022-04-10 18:35:53
1990-11-02,-15.9,--,-8.8,2022-04-10 18:35:53
1990-10-05,-8.8,--,-22.1,2022-04-10 18:35:53
1990-09-07,-22.1,--,-2.8,2022-04-10 18:35:53
1990-08-03,-2.8,--,2.3,2022-04-10 18:35:53
1990-07-06,2.3,--,15.2,2022-04-10 18:35:53
1990-06-01,15.2,--,4,2022-04-10 18:35:53
1990-05-04,4,--,21.5,2022-04-10 18:35:53
1990-04-06,21.5,--,24.8,2022-04-10 18:35:53
1990-03-02,24.8,--,33.5,2022-04-10 18:35:53
1990-02-02,33.5,--,9.6,2022-04-10 18:35:53
1990-01-05,9.6,--,27.7,2022-04-10 18:35:53
1989-12-01,27.7,--,11.1,2022-04-10 18:35:53
1989-11-03,11.1,--,25,2022-04-10 18:35:53
1989-10-06,25,--,4.9,2022-04-10 18:35:53
1989-09-01,4.9,--,4,2022-04-10 18:35:53
1989-08-04,4,--,11.6,2022-04-10 18:35:53
1989-07-07,11.6,--,11.8,2022-04-10 18:35:53
1989-06-02,11.8,--,17.3,2022-04-10 18:35:53
1989-05-05,17.3,--,19.3,2022-04-10 18:35:53
1989-04-07,19.3,--,25.8,2022-04-10 18:35:53
1989-03-03,25.8,--,26.2,2022-04-10 18:35:53
1989-02-03,26.2,--,29,2022-04-10 18:35:53
1989-01-06,29,--,33.9,2022-04-10 18:35:53
1988-12-02,33.9,--,26.8,2022-04-10 18:35:53
1988-11-04,26.8,--,33.9,2022-04-10 18:35:53
1988-10-07,33.9,--,12.4,2022-04-10 18:35:53
1988-09-02,12.4,--,22.2,2022-04-10 18:35:53
1988-08-05,22.2,--,36.3,2022-04-10 18:35:53
1988-07-01,36.3,--,22.9,2022-04-10 18:35:53
1988-06-03,22.9,--,24.5,2022-04-10 18:35:53
1988-05-06,24.5,--,27.6,2022-04-10 18:35:53
1988-04-01,27.6,--,45.3,2022-04-10 18:35:53
1988-03-04,45.3,--,9.4,2022-04-10 18:35:53
1988-02-05,9.4,--,29.4,2022-04-10 18:35:53
1988-01-01,29.4,--,23.2,2022-04-10 18:35:53
1987-12-04,23.2,--,49.2,2022-04-10 18:35:53
1987-11-06,49.2,--,22.8,2022-04-10 18:35:53
1987-10-02,22.8,--,17.1,2022-04-10 18:35:53
1987-09-04,17.1,--,34.7,2022-04-10 18:35:53
1987-08-07,34.7,--,17.2,2022-04-10 18:35:53
1987-07-03,17.2,--,22.6,2022-04-10 18:35:53
1987-06-05,22.6,--,33.8,2022-04-10 18:35:53
1987-05-01,33.8,--,24.9,2022-04-10 18:35:53
1987-04-03,24.9,--,23.2,2022-04-10 18:35:53
1987-03-06,23.2,--,17.2,2022-04-10 18:35:53
1987-02-06,17.2,--,20.5,2022-04-10 18:35:53
1987-01-02,20.5,--,18.6,2022-04-10 18:35:53
1986-12-05,18.6,--,18.6,2022-04-10 18:35:53
1986-11-07,18.6,--,34.7,2022-04-10 18:35:53
1986-10-03,34.7,--,11.4,2022-04-10 18:35:53
1986-09-05,11.4,--,31.8,2022-04-10 18:35:53
1986-08-01,31.8,--,-9.4,2022-04-10 18:35:53
1986-07-04,-9.4,--,12.7,2022-04-10 18:35:53
1986-06-06,12.7,--,18.7,2022-04-10 18:35:53
1986-05-02,18.7,--,9.4,2022-04-10 18:35:53
1986-04-04,9.4,--,10.7,2022-04-10 18:35:53
1986-03-07,10.7,--,12.5,2022-04-10 18:35:53
1986-02-07,12.5,--,16.7,2022-04-10 18:35:53
1986-01-03,16.7,--,20.9,2022-04-10 18:35:53
1985-12-06,20.9,--,18.8,2022-04-10 18:35:53
1985-11-01,18.8,--,20.3,2022-04-10 18:35:53
1985-10-04,20.3,--,19.3,2022-04-10 18:35:53
1985-09-06,19.3,--,19,2022-04-10 18:35:53
1985-08-02,19,--,14.6,2022-04-10 18:35:53
1985-07-05,14.6,--,27.4,2022-04-10 18:35:53
1985-06-07,27.4,--,19.6,2022-04-10 18:35:53
1985-05-03,19.6,--,34.6,2022-04-10 18:35:53
1985-04-05,34.6,--,12.4,2022-04-10 18:35:53
1985-03-01,12.4,--,26.6,2022-04-10 18:35:53
1985-02-01,26.6,--,12.8,2022-04-10 18:35:53
1985-01-04,12.8,--,34.9,2022-04-10 18:35:53
1984-12-07,34.9,--,28.6,2022-04-10 18:35:53
1984-11-02,28.6,--,31,2022-04-10 18:35:53
